id,title,description,event_date,event_time,venue_name,venue_address,theme,sub_theme,flyer_url,is_featured,is_special,djs
13,HIP-SO,Final HIP-SO edition before transition into Global Bass seasonal programming.,2026-04-30,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",HIP-SO,Cyaan Kool,/flyers/apr-week5.png,TRUE,FALSE,Johnny Kool | ZIP FM |resident; Andre Millwood||
14,Fuego,Cinco de Mayo-inspired Global Bass edition featuring international club sounds.,2026-05-07,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Global Bass,Fuego,/flyers/may-week1.png,TRUE,TRUE,Troy Finzi | FAME FM |resident; Andre Millwood||
15,Suave,Luxury Latin and hip hop nightlife experience with smooth crossover sounds.,2026-05-14,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Global Bass,Suave,/flyers/may-week2.png,TRUE,TRUE,Kevi the Kinetic||resident; Andre Millwood||
16,Shutdown,"UK grime, dancehall and hip hop focused nightlife experience.",2026-05-21,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Global Bass,Shutdown,/flyers/may-week3.png,TRUE,TRUE,Chaddy G||resident; Andre Millwood||
17,Rave Mode,"High-energy electronic, hip hop and bass culture experience closing out the Global Bass series.",2026-05-28,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Global Bass,Rave Mode,/flyers/may-week4.png,TRUE,TRUE,ZJ West||resident; Andre Millwood||
21,X-Files,"I Luv Hip Hop's one-year anniversary edition, Hotter Than Your X. RSVP guests receive a complimentary tequila shot.",2026-06-04,10:00 PM - 3:00 AM,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop 1 Year Anniversary,Hotter Than Your X,/flyers/june-week1-anniversary.png,TRUE,TRUE,DJ Narity||; DJ Troy Finzi||; Andre Millwood|Resident DJ|resident
22,Road to the Cup,"The anniversary celebration continued with World Cup energy, hip hop, dancehall and reggae. RSVP guests receive complimentary shots and access to selected 2-for-1 Wray & Nephew or Kingston 62 deals.",2026-06-11,8:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Road to the Cup Summer Kickoff Series,Hotter Than Your Ex,/flyers/june-week2-road-to-cup.png,TRUE,TRUE,Karim Stainless|Special Guest DJ|; Rockwildaz Sound||; Andre Millwood|Resident DJ|resident
23,Road to the Cup,"Matchday 3 of the anniversary summer series, featuring hip hop with dancehall, reggae and global remixes. RSVP guests receive complimentary shots and access to selected 2-for-1 Wray & Nephew or Kingston 62 deals. Table orders of J$15,000 or more receive a complimentary hookah.",2026-06-18,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Road to the Cup,Matchday 3,/flyers/june-week3-matchday3.png,TRUE,TRUE,DJ Barney|Featured Guest|; Andre Millwood|Resident DJ|resident; Vybz Ovadose|Resident DJ|resident
24,Summer Champions,"The final Thursday of June closes the Hotter Than Your Ex anniversary run with trophy-season hip hop energy. Become an ILHH member and RSVP to access complimentary tequila shots plus 2-for-1 Wray & Nephew and Kingston 62 flask specials.",2026-06-25,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Hip Hop Summer Is Here,Only Winners Left,/flyers/june-week4-summer-champions.png,TRUE,TRUE,Andre Millwood|Resident DJ|resident; Alric & Boyd|Guest DJs|; Supa Hype|Guest DJ|
25,Main Character Energy,"I Luv Hip Hop Thursday edition featuring Main Character Energy theme with guest DJ ZJ West.",2026-07-02,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Main Character Energy,Main Character Energy,/flyers/july-week1-main-character-energy.jpg,TRUE,TRUE,ZJ West|Guest DJ|; Andre Millwood|Resident DJ|resident
26,New Blood,"I Luv Hip Hop Thursday edition featuring New Blood theme with DJ Blaxxtar, Alexander Clennon, and resident DJ Vybz Ovadose.",2026-07-09,8:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",New Blood,New Blood,/flyers/july-week2-new-blood.jpg,TRUE,TRUE,DJ Blaxxtar|Guest DJ|; Alexander Clennon|Guest DJ|; Vybz Ovadose|Resident DJ|resident; Andre Millwood|Resident DJ|resident
27,Player One,"I Luv Hip Hop Thursday edition featuring Player One theme with Guest DJ Mario and resident DJ Steamaz.",2026-07-16,8:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Player One,Player One,/flyers/july-week3-player-one.jpg,TRUE,TRUE,DJ Mario|Guest DJ|; DJ Steamaz|Resident DJ|resident; Andre Millwood|Resident DJ|resident
28,Night Shift,"I Luv Hip Hop Thursday edition featuring Night Shift theme with Guest Supervisor DJ Johnny Kool and resident DJ Steamaz.",2026-07-23,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Night Shift,Night Shift,/flyers/july-week4-nightshift.jpg,TRUE,TRUE,DJ Johnny Kool|Guest Supervisor|; DJ Steamaz|Resident Operator|resident; Andre Millwood|Resident DJ|resident
29,Therapy,"I Luv Hip Hop Thursday edition featuring Therapy theme with DJ Vinchi and resident DJ Steamaz.",2026-07-30,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Therapy,Therapy,/flyers/july-week5-therapy.jpg,TRUE,TRUE,DJ Vinchi|Guest DJ|; DJ Steamaz|Resident DJ|resident; Andre Millwood|Resident DJ|resident
30,Independence Day Celebration,"Jamaica Independence Day Special celebrating Jay-Z The Black Album (20 Years of Greatness). Cover charge: $1,000 General / At The Gate. $500 with RSVP. FREE in full black with RSVP. Music by Main DJ Troy Finzi and resident DJ Steamaz.",2026-08-06,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",Celebrating Jay-Z The Black Album,Dirt Off Your Shoulders,/flyers/aug-week1-independence.jpg,TRUE,TRUE,Troy Finzi|Main DJ|; DJ Steamaz|Resident DJ|resident; Andre Millwood|Resident DJ|resident
31,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-08-13,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
32,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-08-20,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
33,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-08-27,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
34,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-09-03,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
35,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-09-10,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
36,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-09-17,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
37,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-09-24,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
38,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-10-01,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
39,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-10-08,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
40,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-10-15,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
41,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-10-22,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
42,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-10-29,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
43,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-11-05,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
44,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-11-12,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
45,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-11-19,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
46,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-11-26,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
47,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-12-03,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
48,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-12-10,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
49,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-12-17,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
50,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-12-24,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
51,ILHH Weekly,"Weekly I Luv Hip Hop Thursday placeholder. Theme, artwork, guest DJs, galleries and mix links can be filled in from admin as the programme locks.",2026-12-31,9:00 PM - Late,Dulce Lounge,"22 Barbican Road, Kingston, Jamaica",I Luv Hip Hop Thursdays,Details TBA,,TRUE,FALSE,Andre Millwood|Resident DJ|resident
